line_num,from_node,to_node,is_existing,maxFlow,susceptance,length,from_lat,from_lon
0.0,7.0,8.0,1.0,2208.42,189.6094046,27.85899877,44.95841783333333,-69.25041191666666
1.0,8.0,11.0,1.0,2531.17,344.7087211,20.60673626,43.8299905,-70.26305149999999
2.0,11.0,7.0,1.0,2501.83,123.6705417,29.46648414,43.605611,-71.61812950000001
3.0,8.0,11.0,1.0,2438.37,101.3581999,40.41570127,43.8299905,-70.26305149999999
4.0,8.0,7.0,1.0,2041.38,258.9331952,34.5291832,43.8299905,-70.26305149999999
5.0,6.0,11.0,1.0,2601.13,240.2691014,29.34972544,42.3586905,-72.77623625000001
6.0,10.0,0.0,1.0,2570.06,373.2736096,26.72769332,42.9505015,-71.411269
7.0,10.0,11.0,1.0,3009.53,927.6437848,21.21725686,42.9505015,-71.411269
8.0,10.0,11.0,1.0,2357.9,253.1004809,26.8612392,42.9505015,-71.411269
9.0,10.0,1.0,1.0,2751.34,180.0504141,34.15252039,42.9505015,-71.411269
10.0,10.0,0.0,1.0,3158.92,319.284802,26.72769332,42.9505015,-71.411269
11.0,11.0,9.0,1.0,2544.09,92.09799226,39.77070541,43.605611,-71.61812950000001
12.0,9.0,6.0,1.0,2410.67,217.6752286,29.36291832,44.16137385714286,-72.68527314285714
13.0,9.0,6.0,1.0,2518.72,143.8641922,49.96300339,44.16137385714286,-72.68527314285714
14.0,12.0,4.0,1.0,2400.29,280.8988764,10.66362755,41.6314806,-71.4682568
15.0,10.0,0.0,1.0,2685.46,180.4728388,26.72769332,42.9505015,-71.411269
16.0,1.0,10.0,1.0,2946.6,186.6716446,38.30433427,42.479477,-71.396507
17.0,6.0,15.0,1.0,2417.7,250.438267,23.3299665,42.3586905,-72.77623625000001
18.0,5.0,6.0,1.0,2729.83,204.2900919,37.67264257,42.311693,-71.940282
19.0,5.0,1.0,1.0,2622.23,299.1325157,30.13417189,42.311693,-71.940282
20.0,3.0,4.0,1.0,2576.66,246.9745616,25.80129009,42.169703,-71.179875
21.0,3.0,5.0,1.0,2377.46,143.3486239,40.21107327,42.169703,-71.179875
22.0,4.0,3.0,1.0,2849.6,229.2000917,29.45564363,41.6442816,-70.5767066
23.0,5.0,1.0,1.0,2652.96,160.9269392,30.13417189,42.311693,-71.940282
24.0,12.0,1.0,1.0,2778.79,357.5259206,43.05539743,41.6314806,-71.4682568
25.0,12.0,4.0,1.0,2579.01,420.5214466,10.66362755,41.6314806,-71.4682568
26.0,4.0,12.0,1.0,2599.69,275.9381898,10.66362755,41.6442816,-70.5767066
27.0,12.0,1.0,1.0,2702.71,295.6830278,43.05539743,41.6314806,-71.4682568
28.0,5.0,12.0,1.0,2645.36,153.1628121,35.68860567,42.311693,-71.940282
29.0,16.0,12.0,1.0,2348.19,243.9619419,21.51469596,41.6490575,-72.2398395
