branch_id,from_bus_id,to_bus_id,b,max_flow
0,2,15,200.0,20000.0
1,2,31,800.0,80000.0
2,2,56,100.0,10000.0
3,15,2,600.0,60000.0
4,15,56,200.0,20000.0
5,19,31,100.0,10000.0
6,19,56,200.0,20000.0
7,31,2,800.0,80000.0
8,56,15,100.0,10000.0
9,56,19,200.0,20000.0
