Lat,Lon,bus_id,representative_id
42.642711,-70.865107,0,0
42.479477,-71.396507,1,0
42.33196,-71.020173,2,2
42.169703,-71.179875,3,0
41.6442816,-70.5767066,4,0
42.311693,-71.940282,5,5
42.3586905,-72.77623625000001,6,5
44.95841783333333,-69.25041191666666,7,0
43.8299905,-70.26305149999999,8,0
44.16137385714286,-72.68527314285714,9,9
42.9505015,-71.411269,10,5
43.605611,-71.61812950000001,11,9
41.6314806,-71.4682568,12,0
41.228103,-73.366757,13,13
41.570807,-73.067816,14,13
41.806053,-72.732916,15,13
41.6490575,-72.2398395,16,0
