line_num,from_node,to_node,is_existing,maxFlow,susceptance,length,from_lat,from_lon
64.0,32.0,33.0,0.0,10000.0,100.0,39.60149861991215,45.838,69.2835
65.0,32.0,36.0,0.0,10000.0,100.0,43.09070961396696,45.838,69.2835
66.0,33.0,32.0,0.0,10000.0,100.0,39.60149861991215,45.5138,69.9582
67.0,33.0,53.0,0.0,10000.0,100.0,44.17273517447566,45.5138,69.9582
68.0,34.0,32.0,0.0,10000.0,100.0,65.50071951471821,46.6588,68.5988
69.0,34.0,36.0,0.0,10000.0,100.0,86.93366171419915,46.6588,68.5988
70.0,35.0,62.0,0.0,10000.0,100.0,30.158611902118768,44.499,70.7555
71.0,35.0,17.0,0.0,10000.0,100.0,35.724108403317004,44.499,70.7555
72.0,36.0,32.0,0.0,10000.0,100.0,43.09070961396696,45.4006,68.6494
73.0,36.0,57.0,0.0,10000.0,100.0,52.17035950289092,45.4006,68.6494
74.0,37.0,7.0,0.0,10000.0,100.0,26.888705139137855,43.8739,71.2028
75.0,37.0,66.0,0.0,10000.0,100.0,31.17764357258793,43.8739,71.2028
76.0,38.0,23.0,0.0,10000.0,100.0,26.459529570613643,42.9153,71.716
77.0,38.0,8.0,0.0,10000.0,100.0,27.15478749998262,42.9153,71.716
78.0,39.0,49.0,0.0,10000.0,100.0,13.854300520324188,41.8724,71.5811
79.0,39.0,18.0,0.0,10000.0,100.0,18.748014411077765,41.8724,71.5811
80.0,40.0,49.0,0.0,10000.0,100.0,14.10421440987761,41.4687,71.6234
81.0,40.0,10.0,0.0,10000.0,100.0,20.94918061646846,41.4687,71.6234
82.0,41.0,11.0,0.0,10000.0,100.0,23.898480679355025,44.4609,73.0809
83.0,41.0,16.0,0.0,10000.0,100.0,25.479198859634927,44.4609,73.0809
84.0,42.0,41.0,0.0,10000.0,100.0,29.85790922028536,44.0306,73.1407
85.0,42.0,15.0,0.0,10000.0,100.0,31.051583875326315,44.0306,73.1407
86.0,43.0,5.0,0.0,10000.0,100.0,22.639823795081686,43.5801,73.0366
87.0,43.0,42.0,0.0,10000.0,100.0,31.53485578327611,43.5801,73.0366
88.0,44.0,13.0,0.0,10000.0,100.0,19.452367921280974,42.9906,72.7138
89.0,44.0,8.0,0.0,10000.0,100.0,23.966546607001977,42.9906,72.7138
90.0,45.0,16.0,0.0,10000.0,100.0,19.27069138962445,44.8574,72.912
91.0,45.0,11.0,0.0,10000.0,100.0,21.89681005058798,44.8574,72.912
92.0,46.0,50.0,0.0,10000.0,100.0,23.327653182739315,42.6729,70.9581
93.0,46.0,55.0,0.0,10000.0,100.0,24.443639778451406,42.6729,70.9581
94.0,47.0,65.0,0.0,10000.0,100.0,18.82410795911977,41.9547,70.8129
95.0,47.0,31.0,0.0,10000.0,100.0,25.298086620684803,41.9547,70.8129
96.0,48.0,30.0,0.0,10000.0,100.0,14.245280815498967,42.1351,72.6316
97.0,48.0,1.0,0.0,10000.0,100.0,23.27708674692681,42.1351,72.6316
98.0,49.0,39.0,0.0,10000.0,100.0,13.854300520324188,41.6719,71.5943
99.0,49.0,40.0,0.0,10000.0,100.0,14.10421440987761,41.6719,71.5943
100.0,50.0,9.0,0.0,10000.0,100.0,21.927408726683595,42.9877,71.1251
101.0,50.0,46.0,0.0,10000.0,100.0,23.327653182739315,42.9877,71.1251
102.0,51.0,9.0,0.0,10000.0,100.0,20.186067958506108,43.4796,70.7156
103.0,51.0,52.0,0.0,10000.0,100.0,29.74087842696093,43.4796,70.7156
104.0,52.0,17.0,0.0,10000.0,100.0,24.136342979261826,43.8487,70.4096
105.0,52.0,21.0,0.0,10000.0,100.0,28.630267361377914,43.8487,70.4096
106.0,53.0,35.0,0.0,10000.0,100.0,36.205307468132936,44.974,70.444
107.0,53.0,33.0,0.0,10000.0,100.0,44.17273517447566,44.974,70.444
108.0,54.0,60.0,0.0,10000.0,100.0,22.580854158725028,41.4893,72.1004
109.0,54.0,3.0,0.0,10000.0,100.0,24.221383514028897,41.4893,72.1004
110.0,55.0,31.0,0.0,10000.0,100.0,14.177918358189375,42.3308,71.0818
111.0,55.0,24.0,0.0,10000.0,100.0,19.11677444484809,42.3308,71.0818
112.0,56.0,20.0,0.0,10000.0,100.0,24.453456974817527,44.5037,69.1478
113.0,56.0,59.0,0.0,10000.0,100.0,31.31759599621238,44.5037,69.1478
114.0,57.0,56.0,0.0,10000.0,100.0,40.95491581524768,44.6749,68.3531
115.0,57.0,0.0,0.0,10000.0,100.0,43.161728362478186,44.6749,68.3531
116.0,58.0,19.0,0.0,10000.0,100.0,29.325340191441235,41.7257,70.2982
117.0,58.0,47.0,0.0,10000.0,100.0,30.909550668650546,41.7257,70.2982
118.0,59.0,22.0,0.0,10000.0,100.0,25.60956907111958,44.4093,69.7672
119.0,59.0,17.0,0.0,10000.0,100.0,27.45876881591441,44.4093,69.7672
120.0,60.0,25.0,0.0,10000.0,100.0,20.994163913254365,41.4624,72.534
121.0,60.0,54.0,0.0,10000.0,100.0,22.580854158725028,41.4624,72.534
122.0,61.0,25.0,0.0,10000.0,100.0,25.563091672377137,41.2731,73.3887
123.0,61.0,26.0,0.0,10000.0,100.0,36.60807201532791,41.2731,73.3887
124.0,62.0,64.0,0.0,10000.0,100.0,21.376527993385743,44.6893,71.3057
125.0,62.0,35.0,0.0,10000.0,100.0,30.158611902118768,44.6893,71.3057
126.0,63.0,64.0,0.0,10000.0,100.0,25.621884025136033,44.4647,72.1022
127.0,63.0,14.0,0.0,10000.0,100.0,26.091955224560788,44.4647,72.1022
128.0,64.0,62.0,0.0,10000.0,100.0,21.376527993385743,44.7281,71.7364
129.0,64.0,63.0,0.0,10000.0,100.0,25.621884025136033,44.7281,71.7364
130.0,65.0,18.0,0.0,10000.0,100.0,10.550896449101687,41.802,71.1153
131.0,65.0,10.0,0.0,10000.0,100.0,18.10026850912207,41.802,71.1153
132.0,66.0,12.0,0.0,10000.0,100.0,28.09949165070491,43.9409,71.8205
133.0,66.0,37.0,0.0,10000.0,100.0,31.17764357258793,43.9409,71.8205
