,0,1,2
0,4.415658235549927,1854755.6313402224,0.0
1,4.415658235549927,1854351.2474614074,0.0
2,839.4123141765594,1854351.2474614074,21057.987683725765
3,914.5771942138672,22268.210641642796,21057.987683725765
4,1089.1936345100403,22186.6091583808,21057.987683725765
5,1219.5479249954224,22140.82745085122,21072.840106953434
6,1219.5479249954224,21975.203365618414,21072.840106953434
7,1219.5479249954224,21975.203365618414,21072.841011672706
8,1219.5638523101807,21876.042077571165,21074.69501803375
9,2167.340048313141,21876.042077571165,21075.706118482412
10,2167.343974351883,21876.042077571165,21075.70614396677
11,2167.3448531627655,21876.042077571165,21077.7268985622
12,7324.202338933945,21799.901677689522,21077.7268985622
13,7738.337034463882,21124.16064391875,21077.7268985622
14,7738.3467881679535,21118.829136130655,21077.7268985622
15,13198.789832830429,21118.087391562964,21077.7268985622
16,13198.789832830429,21113.14515318793,21077.7268985622
17,16887.57464504242,21113.14514479178,21077.7268985622
18,18153.348066806793,21113.14514479178,21081.325118041354
19,18153.350219488144,21113.14514479178,21081.325598480886
20,25844.101859807968,21113.14514479178,21085.425418110965
21,25844.101859807968,21113.14514479178,21085.428871765347
22,31050.8067612648,21113.14514479178,21096.982343668544
23,31799.951159238815,21113.14514479178,21100.456035390092
24,31799.951159238815,21113.14514479178,21100.45630628986
25,32301.80323958397,21113.14514479178,21109.5966411629
26,32301.80323958397,21113.14514479178,21110.7323814626
27,32301.80323958397,21113.14514479178,21111.420302878498
28,32301.80323958397,21113.14514479178,21112.05282564623
29,32301.80323958397,21113.14514479178,21112.573964878866
30,32301.80323958397,21113.14514479178,21113.14514479178
