zone_id,bus_id,Lat,Lon
2168,[686],44.4207,-69.1562
1951,"[3942, 3945, 3946]",42.5296,-70.9216
1933,"[2487, 2488, 2492, 2493]",44.0119,-73.1726
508,"[5028, 5029, 5033, 5034]",41.8092,-72.66
1933,[2211],44.0475,-72.1404
2168,"[782, 783]",43.3702,-70.9735
2535,[552],45.4488,-68.4257
692,"[3650, 3654, 3655]",42.0302,-70.9317
995,"[4407, 4413, 4414]",42.3285,-71.056
545,[4896],41.8446,-72.8055
