0,1,2,3,4,5,6,7,8,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.016731804236769676,6.579358233357521e-14,0.002777921734377742,0.0,0.0013595729833468795,0.0,0.0768590047955513,0.0,0.0
0.5121675133705139,0.35351306200027466,0.5379989147186279,0.5362526178359985,0.16091912984848022,0.37952882051467896,0.006349199917167425,0.5303828120231628,0.003964404575526714,0.16091912984848022
0.6866642236709595,0.5815405249595642,0.6876140832901001,0.6860759854316711,0.514622151851654,0.5453592538833618,0.042520586401224136,0.6807376742362976,0.055733609944581985,0.514622151851654
0.4418639838695526,0.6219320297241211,0.7432854771614075,0.7431514859199524,0.5834745168685913,0.6949674487113953,0.14471404254436493,0.7392730116844177,0.09709092974662781,0.5834745168685913
0.5444948077201843,0.59499591588974,0.7629456520080566,0.7632027268409729,0.4818181097507477,0.7273107767105103,0.15833429992198944,0.5978891253471375,0.3059091866016388,0.4818181097507477
0.6259504556655884,0.6304435729980469,0.7612120509147644,0.7598463296890259,0.6163203120231628,0.7296567559242249,0.22763405740261078,0.6679677963256836,0.1818045824766159,0.6163203120231628
0.4834733009338379,0.49348053336143494,0.735102653503418,0.7266425490379333,0.609030544757843,0.698006808757782,0.036478083580732346,0.6322680711746216,0.3004873991012573,0.609030544757843
0.673336386680603,0.3635716140270233,0.6654918193817139,0.6312670111656189,0.126623272895813,0.6034585237503052,0.6721886396408081,0.5284016132354736,0.6753112077713013,0.126623272895813
0.4597325325012207,0.09991126507520676,0.46577587723731995,0.34863656759262085,0.19955718517303467,0.22508399188518524,0.48090994358062744,0.33760979771614075,0.4792115092277527,0.19955718517303467
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
